Scenario - for study									
Logfile written - 2016/1/12 20:00:56									
									
Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur
127	Response	3	2066872	4761	1				
128	Response	2	2070915	3970	1				
129	Picture	AT029	2084948	1000	170	5834	171	1000	8000
129	Response	3	2090732	6784	1				
130	Response	1	2098212	7430	2				
133	Picture	ND069	2150295	1000	167	7829	168	1000	8000
133	Response	2	2158075	8780	1				
135	Picture	B2T002	2178465	1000	166	4163	167	1000	8000
135	Response	3	2182557	5092	1				
136	Response	2	2186946	4318	2				
137	Picture	B1D039	2202797	1000	170	7834	171	1000	8000
137	Response	2	2210580	8783	1				
139	Picture	ND059	2230300	1000	171	5668	172	1000	8000
139	Response	2	2235761	6461	1				
141	Picture	B1D022	2253637	1000	171	6001	172	1000	8000
141	Response	2	2259444	6807	2				
143	Picture	NT039	2279974	1000	170	7501	171	1000	8000
143	Response	3	2287407	8433	2				
144	Response	2	2291754	4279	1				
145	Picture	AD079	2306311	1000	170	8168	171	1000	8000
146	Response	1	2315244	764	1				
147	Picture	AT039	2335481	1165	2	4646	193	1000	8000
147	Response	3	2340126	5810	1				
148	Response	1	2344342	4215	1				
149	Picture	AD059	2359818	1166	1	8000	173	1000	8000
150	Response	2	2369157	1166	1				
151	Picture	NT002	2388155	1000	171	4834	172	1000	8000
151	Response	3	2392867	5712	1				
152	Response	2	2396963	3974	2				
153	Picture	AD069	2413658	1000	171	8168	172	1000	8000
154	Response	1	2422913	1086	1				
155	Picture	B2D029	2442996	1166	1	8000	172	1000	8000
156	Response	2	2452656	1488	2				
159	Picture	B1T002	2511338	1000	171	8168	172	1000	8000
160	Response	1	2522382	2875	1				
161	Picture	B2D022	2539509	1166	1	8000	172	1000	8000
162	Response	2	2548166	485	2				
163	Picture	AT002	2565679	1000	171	4501	172	1000	8000
163	Response	3	2569975	5296	2				
164	Response	1	2576614	6434	2				
165	Picture	NT012	2590516	1000	172	4167	173	1000	8000
165	Response	3	2594514	4998	1				
166	Response	2	2598737	4054	1				
167	Picture	B1T019	2614685	1000	171	4001	172	1000	8000
167	Response	3	2618477	4792	1				
168	Response	1	2623615	4929	2				
169	Picture	AT012	2638022	1000	171	4334	172	1000	8000
169	Response	3	2642277	5255	1				
170	Response	2	2646866	4510	2				
171	Picture	AD052	2659864	1000	165	4328	166	1000	8000
171	Response	3	2664041	5177	1				
172	Response	2	2670903	6711	1				
173	Picture	ND042	2681695	1000	170	6167	171	1000	8000
173	Response	2	2687654	6959	2				
175	Picture	AD042	2706536	1000	166	5996	167	1000	8000
175	Response	2	2712409	6873	2				
177	Picture	B2D039	2732035	1000	171	8167	173	1000	8000
178	Response	1	2740822	619	1				
179	Picture	NT022	2758205	1166	1	7812	194	1000	8000
179	Response	3	2766016	8977	1				
180	Response	2	2772548	6531	1				
181	Picture	ND079	2784375	1166	1	8000	173	1000	8000
182	Response	2	2795353	2643	1				
185	Picture	ND052	2850551	1000	170	8167	172	1000	8000
186	Response	1	2861076	2357	1				
187	Picture	ND062	2877888	1166	1	6204	135	1000	8000
187	Response	2	2884091	7369	1				
189	Picture	AT022	2902724	1165	2	5424	83	1000	8000
189	Response	3	2908146	6587	2				
190	Response	1	2911604	3456	1				
191	Picture	AT032	2926728	1166	1	5190	148	1000	8000
191	Response	3	2931916	6354	2				
192	Response	1	2936163	4245	1				
193	Picture	AT008	2950564	1166	1	4691	148	1000	8000
193	Response	3	2955254	5856	1				
194	Response	1	2959391	4136	1				
195	Picture	AD062	2973567	1165	1	8000	173	1000	8000
196	Response	2	2981923	21	1				
197	Picture	B2T012	3001904	1000	171	7168	172	1000	8000
197	Response	3	3008954	8050	1				
198	Response	2	3013456	4384	2				
199	Picture	B1D032	3027074	1000	171	8168	172	1000	8000
200	Response	2	3038544	3301	1				
201	Picture	B1T012	3054578	1166	1	5701	138	1000	8000
201	Response	3	3060277	6865	2				
202	Response	1	3064261	3982	1				
203	Picture	NT032	3079081	1165	2	5141	200	1000	8000
203	Response	3	3084221	6305	1				
204	Response	1	3088507	4285	1				
205	Picture	NT008	3101584	1165	2	8000	174	1000	8000
206	Response	3	3110729	810	1				
206	Response	2	3114736	4817	1				
207	Picture	B2T008	3130922	1000	171	7667	173	1000	8000
207	Response	3	3138376	8454	1				
208	Response	2	3142293	3704	2				
211	Picture	B1D028	3199264	1000	171	8168	346	1000	8000
211	Response	3	3207263	8999	169				
212	Response	2	3211613	4181	1				
213	Picture	AD048	3227935	1166	1	6477	195	1000	8000
213	Response	2	3234411	7642	2				
215	Picture	AT018	3253605	1166	1	8000	173	1000	8000
216	Response	1	3261777	-162	162				
217	Picture	B2D032	3282109	1000	170	8167	172	1000	8000
218	Response	1	3292850	2573	1				
219	Picture	AD072	3309779	1166	1	7933	73	1000	8000
219	Response	2	3317711	9098	1				
221	Picture	B1T008	3336116	1165	1	6258	81	1000	8000
221	Response	3	3342373	7422	1				
222	Response	1	3346932	4558	1				
223	Picture	ND072	3362119	1165	2	6574	100	1000	8000
223	Response	2	3368692	7738	1				
225	Picture	NT028	3389290	1166	1	4824	181	1000	8000
225	Response	3	3394113	5989	1				
226	Response	2	3399730	5616	1				
227	Picture	NT018	3412626	1165	1	4742	97	1000	8000
227	Response	3	3417367	5906	1				
228	Response	2	3421453	4085	2				
229	Picture	AT028	3436463	1166	1	4871	134	1000	8000
229	Response	3	3441333	6036	1				
230	Response	1	3446092	4758	1				
231	Picture	NT038	3459132	1165	2	4887	120	1000	8000
231	Response	3	3464018	6051	2				
232	Response	2	3468255	4236	1				
233	Picture	B2T018	3483802	1165	2	3868	139	1000	8000
233	Response	3	3487669	5032	1				
234	Response	2	3492075	4405	1				
237	Picture	AT038	3547978	1166	1	4992	180	1000	8000
237	Response	3	3552969	6157	1				
238	Response	2	3558257	5287	1				
239	Picture	B2T003	3573648	1166	1	2812	193	1000	8000
239	Response	3	3576459	3977	1				
240	Response	2	3581331	4871	1				
241	Picture	B1T018	3596318	1166	1	4052	120	1000	8000
241	Response	3	3600369	5217	1				
242	Response	1	3604778	4408	1				
243	Picture	ND058	3619821	1166	1	7574	98	1000	8000
243	Response	2	3627394	8739	1				
245	Picture	ND048	3646824	1165	2	7525	149	1000	8000
245	Response	2	3654348	8689	2				
247	Picture	B1D038	3674328	1166	1	4297	209	1000	8000
247	Response	2	3678624	5462	1				
249	Picture	AD078	3698331	1165	1	5459	213	1000	8000
249	Response	2	3703789	6623	1				
251	Picture	NT003	3722001	1166	1	6600	72	1000	8000
251	Response	3	3728600	7765	1				
252	Response	2	3732643	4042	2				
253	Picture	B2D028	3749171	1165	2	8000	174	1000	8000
254	Response	2	3758407	901	1				
255	Picture	AD068	3777508	1000	171	8168	172	1000	8000
256	Response	1	3787062	1385	1				
257	Picture	AD058	3806513	1166	1	8000	172	1000	8000
257	Response	1	3814512	9165	173				
259	Picture	ND068	3832349	1000	171	5668	172	1000	8000
259	Response	1	3837936	6587	1				
263	Picture	B1T003	3897691	1000	171	7668	172	1000	8000
263	Response	3	3905156	8465	2				
264	Response	2	3909280	3921	1				
265	Picture	AT003	3925367	1000	167	4829	168	1000	8000
265	Response	3	3930074	5707	2				
266	Response	1	3934191	3995	1				
267	Picture	ND043	3949198	1000	171	8168	172	1000	8000
268	Response	2	3959615	2248	1				
269	Picture	B1D023	3974868	1165	2	5966	208	1000	8000
269	Response	2	3980833	7130	1				
271	Picture	NT023	3999538	1165	2	6432	75	1000	8000
271	Response	3	4005969	7596	1				
272	Response	2	4010137	4167	1				
273	Picture	AT013	4025542	1166	1	5813	192	1000	8000
273	Response	3	4031354	6978	1				
274	Response	1	4036179	4824	2				
275	Picture	ND078	4049712	1166	1	8000	172	1000	8000
276	Response	2	4058163	278	1				
277	Picture	B2T013	4078549	1000	171	4667	172	1000	8000
277	Response	3	4083110	5561	2				
278	Response	2	4087287	4071	1				
279	Picture	NT013	4101552	1000	171	4001	172	1000	8000
279	Response	3	4105386	4834	1				
280	Response	2	4109635	4082	2				
281	Picture	B2D038	4123555	1000	171	7334	173	1000	8000
281	Response	3	4130840	8285	1				
282	Response	2	4136734	5845	1				
283	Picture	AD043	4148892	1000	170	6501	171	1000	8000
283	Response	2	4155299	7407	1				
285	Picture	AD053	4176395	1000	170	8168	171	1000	8000
286	Response	2	4185149	585	1				
289	Picture	AD063	4242904	1165	2	8000	174	1000	8000
290	Response	2	4255204	3965	2				
291	Picture	AT023	4269075	1000	170	8167	172	1000	8000
292	Response	3	4279903	2660	1				
292	Response	1	4282535	5292	1				
293	Picture	B2D023	4298412	1166	1	8000	173	1000	8000
294	Response	2	4307710	1125	1				
295	Picture	AT007	4326082	1000	171	4834	172	1000	8000
295	Response	3	4330757	5675	1				
296	Response	1	4334707	3791	1				
297	Picture	B2T007	4351919	1000	171	4001	172	1000	8000
297	Response	3	4355785	4866	1				
298	Response	2	4360737	4817	1				
299	Picture	B1T013	4374255	1000	171	5835	172	1000	8000
299	Response	3	4380008	6753	1				
300	Response	2	4389748	9658	1				
301	Picture	B1T007	4400592	1000	171	5334	173	1000	8000
301	Response	3	4405784	6192	1				
302	Response	1	4409548	3622	1				
303	Picture	AT033	4423929	1000	170	4000	172	1000	8000
303	Response	3	4427824	4895	1				
304	Response	1	4431724	3795	1				
305	Picture	ND053	4447604	1000	165	5662	166	1000	8000
305	Response	3	4453088	6484	1				
306	Response	2	4457125	3859	1				
307	Picture	NT007	4474102	1000	171	4668	172	1000	8000
307	Response	3	4478679	5577	1				
308	Response	2	4483822	5052	4				
309	Picture	NT033	4496605	1000	171	4334	172	1000	8000
309	Response	3	4500825	5220	1				
310	Response	2	4505500	4561	1				
311	Picture	NT017	4521108	1000	171	8168	172	1000	8000
312	Response	3	4529277	0	170				
312	Response	2	4534075	4798	2				
315	Picture	AT027	4589118	1166	1	8000	177	1000	8000
316	Response	3	4600031	2734	1				
316	Response	2	4603166	5869	1				
317	Picture	AD047	4615626	1000	166	8163	167	1000	8000
318	Response	1	4627731	3941	1				
319	Picture	NT027	4642625	1166	1	8000	172	1000	8000
320	Response	3	4651568	609	1				
320	Response	1	4654739	3780	1				
321	Picture	ND063	4670462	1000	171	8168	172	1000	8000
322	Response	2	4680116	1485	2				
323	Picture	AT017	4698632	1165	2	5418	89	1000	8000
323	Response	3	4704049	6582	2				
324	Response	1	4712632	8582	1				
325	Picture	B1T017	4725303	1166	1	5589	83	1000	8000
325	Response	3	4730891	6754	1				
326	Response	1	4735007	4115	1				
327	Picture	AD073	4749139	1165	1	4518	154	1000	8000
327	Response	3	4753656	5682	1				
328	Response	1	4758262	4605	1				
329	Picture	ND047	4774809	1165	2	8000	174	1000	8000
330	Response	1	4789073	6091	1				
331	Picture	B1D033	4800813	1000	170	8168	171	1000	8000
332	Response	1	4809732	750	1				
333	Picture	B2D033	4830150	1166	1	8000	173	1000	8000
334	Response	3	4839192	707	1				
334	Response	2	4844101	5616	1				
335	Picture	B2T017	4856320	1000	171	7835	172	1000	8000
335	Response	3	4864033	8713	2				
336	Response	2	4868629	4474	2				
337	Picture	ND073	4884824	1000	171	8168	172	1000	8000
338	Response	2	4894007	1014	1				
341	Picture	AD077	4951166	1165	2	8000	174	1000	8000
342	Response	2	4961833	2332	1				
343	Picture	B1D027	4977170	1000	172	5167	173	1000	8000
343	Response	2	4982202	6032	1				
345	Picture	ND067	5000339	1000	171	4335	172	1000	8000
345	Response	2	5004521	5182	1				
347	Picture	B2D027	5023843	1000	170	6001	171	1000	8000
347	Response	2	5029738	6895	2				
349	Picture	NT037	5047513	1000	170	8167	172	1000	8000
350	Response	3	5057428	1747	2				
350	Response	1	5061874	6193	1				
351	Picture	AT037	5075350	1166	1	7567	105	1000	8000
351	Response	3	5082915	8731	2				
352	Response	1	5087291	4374	2				
353	Picture	NT004	5101687	1166	1	5848	157	1000	8000
353	Response	3	5107534	7013	1				
354	Response	2	5111724	4189	1				
355	Picture	AD067	5128357	1166	1	8000	172	1000	8000
356	Response	2	5138649	1958	1				
357	Picture	ND057	5155866	1000	166	8162	167	1000	8000
358	Response	2	5165989	1960	1				
359	Picture	B2T004	5181697	1165	2	6985	189	1000	8000
359	Response	3	5188681	8149	1				
360	Response	2	5193147	4465	1				
361	Picture	B1D037	5209201	1166	1	8000	173	1000	8000
362	Response	2	5219143	1608	1				
363	Picture	AD057	5236038	1000	171	7168	172	1000	8000
363	Response	2	5243093	8055	1				
367	Picture	B1D024	5303380	1000	171	8168	342	1000	8000
367	Response	2	5311380	9000	168				
369	Picture	NT014	5330384	1166	1	8000	173	1000	8000
370	Response	3	5352326	13608	1				
370	Response	2	5355547	16829	1				
370	Response	1	5355825	17107	1				
371	Picture	AT014	5358888	1000	170	8168	171	1000	8000
372	Response	1	5380608	13551	1				
373	Picture	NT024	5387392	1166	1	8000	172	1000	8000
374	Response	2	5400531	4967	2				
375	Picture	AT004	5416729	1000	171	4500	173	1000	8000
375	Response	3	5421130	5401	1				
376	Response	1	5428345	7116	1				
377	Picture	B2T014	5440744	1000	159	5656	160	1000	8000
377	Response	3	5446331	6587	1				
378	Response	1	5451186	4786	1				
379	Picture	AT024	5465735	1000	171	5501	172	1000	8000
379	Response	3	5471023	6288	1				
380	Response	1	5477402	6166	1				
381	Picture	B2D037	5490072	1000	171	7834	173	1000	8000
381	Response	2	5497711	8639	1				
383	Picture	ND044	5517409	1000	171	8168	172	1000	8000
384	Response	2	5529727	4149	2				
385	Picture	ND077	5544746	1166	1	7438	68	1000	8000
385	Response	2	5552183	8603	1				
387	Picture	B1T004	5569749	1165	2	5796	211	1000	8000
387	Response	2	5575544	6960	1				
389	Picture	AD044	5595586	1165	1	8000	173	1000	8000
390	Response	1	5604984	1063	1				
393	Picture	NT006	5662934	1000	165	8162	167	1000	8000
394	Response	1	5671357	260	1				
395	Picture	B2D024	5689099	1166	1	6687	152	1000	8000
395	Response	2	5695785	7852	1				
397	Picture	NT034	5713936	1166	1	4116	55	1000	8000
397	Response	3	5718051	5281	1				
398	Response	2	5722829	4777	2				
399	Picture	ND054	5737439	1166	1	7125	214	1000	8000
399	Response	2	5744563	8290	1				
401	Picture	AD064	5763109	1166	1	6736	103	1000	8000
401	Response	2	5769844	7901	1				
403	Picture	AT034	5790779	1165	1	8000	173	1000	8000
404	Response	3	5802055	3103	2				
404	Response	1	5805444	6492	1				
405	Picture	AD074	5819121	1000	166	8163	167	1000	8000
406	Response	1	5829836	2551	1				
407	Picture	B1T014	5846953	1165	2	8000	174	1000	8000
408	Response	3	5855513	387	2				
408	Response	2	5859666	4540	1				
409	Picture	ND064	5872790	1000	171	7168	172	1000	8000
409	Response	2	5879802	8012	1				
411	Picture	B2T006	5899127	1000	171	7168	172	1000	8000
411	Response	3	5906181	8054	1				
412	Response	1	5912161	5866	1				
413	Picture	AD054	5925130	1000	171	8168	172	1000	8000
414	Response	2	5934563	1264	2				
415	Picture	B1D034	5954301	1166	1	8000	173	1000	8000
416	Response	2	5963183	709	1				
419	Picture	B1T006	6021649	1000	166	8162	167	1000	8000
420	Response	2	6031354	1542	1				
421	Picture	NT026	6048814	1166	1	7439	67	1000	8000
421	Response	3	6056252	8604	1				
422	Response	2	6060495	4242	1				
423	Picture	B2D034	6076984	1165	1	8000	173	1000	8000
424	Response	2	6086085	766	1				
425	Picture	ND046	6103154	1000	171	8168	346	1000	8000
425	Response	2	6111153	8999	169				
427	Picture	AD056	6130492	1166	1	7164	175	1000	8000
427	Response	3	6137655	8329	1				
428	Response	1	6142211	4555	1				
429	Picture	B1D026	6157662	1166	1	8000	172	1000	8000
430	Response	1	6167848	2014	1				
431	Picture	AT016	6186671	1000	165	6996	166	1000	8000
431	Response	1	6193603	7932	3				
433	Picture	B2T016	6213836	1000	171	5667	173	1000	8000
433	Response	3	6219437	6601	2				
434	Response	2	6224399	4896	1				
435	Picture	NT016	6240185	1000	158	6155	160	1000	8000
435	Response	3	6246169	6984	1				
436	Response	2	6251024	4684	2				
437	Picture	AT006	6265009	1000	171	3834	173	1000	8000
437	Response	3	6268748	4739	1				
438	Response	1	6273017	4174	2				
439	Picture	ND074	6289679	1000	170	8168	171	1000	8000
440	Response	2	6298069	221	2				
441	Picture	AD046	6318350	1166	1	7882	124	1000	8000
441	Response	2	6326231	9047	1				
445	Picture	B1D036	6386693	1166	1	8000	172	1000	8000
446	Response	2	6397125	2260	2				
447	Picture	AT026	6413363	1000	170	4167	171	1000	8000
447	Response	3	6417405	5042	1				
448	Response	1	6424892	7362	1				
449	Picture	NT005	6437538	1000	166	6996	167	1000	8000
449	Response	3	6444389	7851	1				
450	Response	1	6448529	3995	1				
451	Picture	B2T005	6462369	1000	171	4834	173	1000	8000
451	Response	3	6467148	5779	1				
452	Response	1	6471257	4054	2				
453	Picture	AD066	6485039	1000	171	7834	173	1000	8000
453	Response	2	6492751	8712	1				
455	Picture	ND066	6511042	1000	171	7502	172	1000	8000
455	Response	2	6518348	8306	1				
457	Picture	ND056	6537384	1000	167	7163	168	1000	8000
457	Response	2	6544458	8074	1				
459	Picture	B1T016	6562049	1000	171	3668	172	1000	8000
459	Response	3	6565625	4576	1				
460	Response	2	6569642	3925	1				
461	Picture	AT005	6586410	1016	153	8144	154	1000	8000
462	Response	3	6604217	9662	1				
462	Response	2	6609425	14870	1				
463	Picture	AT036	6611889	1165	2	8000	174	1000	8000
464	Response	3	6620603	379	1				
464	Response	1	6625844	5620	1				
465	Picture	NT036	6640393	1000	171	4668	172	1000	8000
465	Response	3	6644942	5549	1				
466	Response	1	6649052	3991	1				
467	Picture	B2D026	6664730	1000	171	7001	172	1000	8000
467	Response	2	6671600	7870	2				
471	Picture	AT025	6729572	1000	171	8168	172	1000	8000
472	Response	3	6738807	1066	2				
472	Response	1	6743749	6008	1				
473	Picture	ND045	6755909	1166	1	8000	173	1000	8000
474	Response	2	6764080	-163	163				
475	Picture	AT015	6782579	1000	171	7001	172	1000	8000
475	Response	3	6789469	7890	1				
476	Response	1	6792837	3257	1				
477	Picture	B1D025	6807082	1000	171	7168	172	1000	8000
477	Response	2	6814201	8119	1				
479	Picture	B1T005	6833758	1000	166	8162	168	1000	8000
480	Response	3	6845904	3983	1				
480	Response	2	6850193	8272	2				
481	Picture	AD076	6861423	1166	1	8000	173	1000	8000
482	Response	1	6871924	2166	1				
483	Picture	ND076	6887426	1000	171	7835	172	1000	8000
483	Response	1	6895105	8679	1				
485	Picture	B2T015	6914763	1000	171	8168	172	1000	8000
486	Response	3	6923121	189	1				
486	Response	2	6927513	4581	2				
487	Picture	ND055	6940934	1166	1	8000	172	1000	8000
488	Response	1	6949706	438	1				
489	Picture	AD045	6969271	1000	170	7668	171	1000	8000
489	Response	1	6976797	8526	1				
491	Picture	B2D036	6996108	1000	170	7501	171	1000	8000
491	Response	1	7003555	8447	2				
493	Picture	NT015	7023450	1000	165	6996	166	1000	8000
493	Response	3	7030274	7824	1				
494	Response	2	7034128	3682	1				
497	Picture	AD065	7089787	1000	171	8168	172	1000	8000
498	Response	2	7105517	7561	2				
499	Picture	AD075	7115624	1166	1	8000	172	1000	8000
500	Response	1	7125654	1696	1				
501	Picture	B1T015	7141627	1000	171	6501	172	1000	8000
501	Response	3	7147933	7306	1				
502	Response	1	7152186	4058	1				
503	Picture	B2D035	7166802	1000	166	8163	167	1000	8000
504	Response	2	7175490	524	1				
505	Picture	B1D035	7195468	1166	1	8000	172	1000	8000
506	Response	2	7204694	892	1				
507	Picture	NT025	7222805	1000	170	8168	171	1000	8000
508	Response	3	7234777	3803	1				
